sample,location,samp_year,cmhi_1,cmhi_2,cmhi_3,cmhi_4,cmhi_5,cmhi_6,cmhi_7,cmhi_8,cmhi_9,cmhi_10,cmhi_11,cmhi_12,cmhi_13,cmhi_14,cmhi_15,cmhi_16,cmhi_17,cmhi_18,cmhi_19,cmhi_20,cmhi_21,cmhi_22,cmhi_23,FP status binary,supertype 1,supertype 2,supertype 3,total unique vars
Sample_01,Oahu,2012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2
Sample_02,Oahu,2013,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,6
Sample_04,Oahu,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Sample_09,Oahu,2012,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4
Sample_10,Hawaii,2015,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,6
Sample_13,Hawaii,2015,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,5,6
Sample_14,Hawaii,2015,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,6
Sample_17,Hawaii,2015,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,5
Sample_21,Hawaii,2015,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,6,7
Sample_34,Hawaii,2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
MHC_G216-s1_cm_Oahu_M_0,Oahu,2020,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
MHC_G216-s10_cm_Oahu_NA_2,Oahu,2019,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4
MHC_G216-s11_cm_Oahu_NA_0,Oahu,2019,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,5
MHC_G216-s12_cm_Oahu_NA_1,Oahu,2019,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3
MHC_G216-s13_cm_Oahu_M_0,Oahu,2019,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
MHC_G216-s14_cm_Oahu_M_0,Oahu,2019,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
MHC_G216-s16_cm_Oahu_U_0,Oahu,2019,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5
MHC_G216-s2_cm_Oahu_U_3,Oahu,2021,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3
MHC_G216-s22_cm_Oahu_NA_0,Oahu,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
MHC_G216-s24_cm_Oahu_NA_0,Oahu,2019,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
MHC_G216-s25_cm_Oahu_U_1,Oahu,2019,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,4
MHC_G216-s26_cm_Oahu_NA_1,Oahu,2019,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3
MHC_G216-s27_cm_Oahu_NA_3,Oahu,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3
MHC_G216-s28_cm_Oahu_M_NA,Oahu,2021,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,u,2,0,5,7
MHC_G216-s3_cm_Oahu_m_0,Oahu,2020,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4
MHC_G216-s30_cm_Oahu_M_0,Oahu,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
MHC_G216-s31_cm_Oahu_U_0,Oahu,2020,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,5
MHC_G216-s32_cm_Oahu_F_0,Oahu,2019,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
MHC_G216-s34_cm_FFS_M_0,FFS,2021,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,5
MHC_G216-s35_cm_FFS_M_0,FFS,2021,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5
MHC_G216-s36_cm_FFS_M_0,FFS,2021,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,5
MHC_G216-s37_cm_FFS_M_0,FFS,2021,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
MHC_G216-s38_cm_FFS_M_0,FFS,2021,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5
MHC_G216-s39_cm_FFS_M_0,FFS,2021,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,5
MHC_G216-s4_cm_Oahu_M_1,Oahu,2020,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,5
MHC_G216-s40_cm_FFS_M_0,FFS,2021,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4
MHC_G216-s41_cm_FFS_M_0,FFS,2021,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,6
MHC_G216-s42_cm_FFS_M_0,FFS,2021,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,6
MHC_G216-s43_cm_FFS_M_0,FFS,2021,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4
MHC_G216-s44_cm_FFS_M_0,FFS,2021,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3
MHC_G216-s45_cm_FFS_M_0,FFS,2021,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4
MHC_G216-s46_cm_FFS_F_0,FFS,2021,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4
MHC_G216-s47_cm_FFS_F_0,FFS,2021,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
MHC_G216-s48_cm_FFS_F_0,FFS,2021,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4
MHC_G216-s49_cm_FFS_F_0,FFS,2021,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
MHC_G216-s5_cm_Oahu_U_2,Oahu,2020,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3
MHC_G216-s50_cm_FFS_M_0,FFS,2021,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,4
MHC_G216-s51_cm_FFS_F_0,FFS,2021,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5
MHC_G216-s52_cm_FFS_F_0,FFS,2021,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,5
MHC_G216-s53_cm_FFS_M_0,FFS,2021,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
MHC_G216-s54_cm_FFS_F_0,FFS,2021,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,6
MHC_G216-s55_cm_FFS_F_0,FFS,2021,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4
MHC_G216-s7_cm_Oahu_NA_1,Oahu,2019,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,5
MHC_G216-s8_cm_Oahu_NA_0,Oahu,2019,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,5
MHC_G216-s9_cm_Oahu_NA_1,Oahu,2019,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,1,5
MHC_Sample105_cm_Hawaii,Hawaii,2019,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,2,0,2,4
MHC_Sample110_cm_Hawaii,Hawaii,2019,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,u,3,1,2,6
MHC_Sample117_cm_Oahu,Oahu,2019,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,2,0,1,3
MHC_Sample125_cm_East-FFS,FFS,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,u,0,0,3,3
MHC_Sample133_cm_East-FFS,FFS,2018,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,u,0,0,2,2
MHC_Sample141_cm_Kauai,Kauai,2019,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,u,2,0,2,4
MHC_Sample142_cm_Hawaii,Hawaii,2019,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,u,3,0,2,5
MHC_Sample149_cm_Kauai,Kauai,2019,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,u,2,0,2,4
MHC_Sample150_cm_Kauai,Kauai,2019,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,u,3,0,1,4
MHC_Sample156_cm_Kauai,Kauai,2019,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,u,3,1,1,5
MHC_Sample157_cm_Hawaii,Hawaii,2019,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,u,3,1,1,5
MHC_Sample162_cm_Hawaii,Hawaii,2019,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,u,3,1,0,4
MHC_Sample163_cm_Oahu,Oahu,2019,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,2,1,1,4
MHC_Sample20_cm_Hawaii,Hawaii,2019,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,u,3,1,1,5
MHC_Sample21_cm_Oahu,Oahu,2019,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,u,1,0,4,5
MHC_Sample27_cm_Hawaii,Hawaii,2019,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,u,3,1,1,5
MHC_Sample28_cm_Oahu,Oahu,2019,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,u,3,0,3,6
MHC_Sample34_cm_Oahu,Oahu,2019,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,2,2
MHC_Sample35_cm_Hawaii,Hawaii,2019,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,u,3,1,1,5
MHC_Sample41_cm_Hawaii,Hawaii,2019,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,u,2,1,1,4
MHC_Sample47_cm_Oahu,Oahu,2019,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,u,2,0,2,4
MHC_Sample53_cm_Oahu,Oahu,2019,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,u,2,0,2,4
MHC_Sample54_cm_Oahu,Oahu,2019,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,u,2,0,5,7
MHC_Sample60_cm_Oahu,Oahu,2019,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,u,1,0,3,4
MHC_Sample61_cm_Oahu,Oahu,2019,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,u,2,1,2,5
MHC_Sample66_cm_Hawaii,Hawaii,2019,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,u,2,2,0,4
MHC_Sample67_cm_Oahu,Oahu,2019,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,u,3,0,1,4
MHC_Sample7_cm_Hawaii,Hawaii,2019,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,u,2,1,2,5
MHC_Sample73_cm_Hawaii,Hawaii,2019,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,u,2,0,3,5
MHC_Sample74_cm_Oahu,Oahu,2019,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,u,2,0,1,3
MHC_Sample80_cm_Hawaii,Hawaii,2019,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,u,1,0,4,5
MHC_Sample87_cm_Hawaii,Hawaii,2019,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,2,0,2,4
MHC_Sample93_cm_Hawaii,Hawaii,2019,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,u,2,0,4,6
MHC_Sample99_cm_Hawaii,Hawaii,2019,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,u,3,0,1,4
